поток NOUN,inan,masc sing,nomn
времен NOUN,inan,neut plur,gent
убыстрила VERB,perf,tran femn,sing,past,indc
, PNCT
Скороговоркой NOUN,inan,femn sing,ablt
судит VERB,impf,tran sing,3per,pres,indc
плаха NOUN,inan,femn sing,nomn
. PNCT
А CONJ
здесь ADVB,Prdx
кровавой ADJF,Qual femn,sing,gent
жертвой NOUN,anim,femn sing,ablt
выстрела NOUN,inan,masc sing,gent
Ложится VERB,impf,intr sing,3per,pres,indc
жизни NOUN,inan,femn sing,gent
черепаха NOUN,anim,femn sing,nomn
. PNCT
Здесь ADVB,Prdx
красных ADJF,Qual plur,gent
лебедей NOUN,anim,masc plur,gent
заря NOUN,inan,femn sing,nomn
Сверкает VERB,impf,intr sing,3per,pres,indc
новыми ADJF,Qual plur,ablt
крылами NOUN,inan,neut plur,ablt,Arch,Litr
. PNCT
Там ADVB,Dmns
надпись NOUN,inan,femn sing,nomn
старого NOUN,inan,neut sing,gent
царя NOUN,anim,masc sing,gent
Засыпана PRTS,perf,past,pssv femn,sing
песками NOUN,inan,masc plur,ablt
. PNCT
Здесь ADVB,Prdx
скачешь VERB,impf,intr sing,2per,pres,indc
вольной ADJF,Qual femn,sing,datv
кобылицей NOUN,anim,femn sing,ablt
По PREP
семикрылому ADJF masc,sing,datv
пути NOUN,inan,masc sing,loct
. PNCT
Здесь ADVB,Prdx
машешь VERB,impf,intr sing,2per,pres,indc
алою NOUN,anim,masc,Name sing,ablt,V-oy
столицей NOUN,inan,femn sing,ablt
, PNCT
Точно ADVB
последнее ADJF neut,sing,nomn
« PNCT
прости VERB,perf,tran sing,impr,excl
» PNCT
. PNCT
Могилы NOUN,inan,femn sing,gent
вольности NOUN,inan,femn sing,gent
— PNCT
Каргебиль NOUN,inan,masc,Sgtm,Geox sing,nomn
и CONJ
Гуниб NOUN,inan,masc,Geox sing,nomn
Были VERB,impf,intr plur,past,indc
соразделителями NOUN,inan,masc plur,ablt
со PREP Vpre
мной NPRO,1per sing,ablt
единых ADJF,Qual plur,gent
зрелищ NOUN,inan,neut plur,gent
, PNCT
И CONJ
, PNCT
за PREP
столом NOUN,inan,masc sing,ablt
присутствуя GRND,impf,intr pres
, PNCT
они NPRO,3per,Anph plur,nomn
б PRCL
Мне NPRO,1per sing,datv
не PRCL
воскликнули VERB,perf,tran plur,past,indc
б PRCL
: PNCT
« PNCT
Что CONJ
, PNCT
что CONJ
, PNCT
товарищ NOUN,anim,masc sing,nomn
, PNCT
мелешь VERB,impf,tran sing,2per,pres,indc
? PNCT
» PNCT
Боец NOUN,anim,masc sing,nomn
, PNCT
боровшийся PRTF,impf,intr,past,actv masc,sing,nomn
, PNCT
не PRCL
поборов NOUN,inan,masc plur,gent
чуму NOUN,inan,femn,Sgtm sing,accs
, PNCT
Пал VERB,perf,intr masc,sing,past,indc
около PREP
дороги NOUN,inan,femn sing,gent
круторогий ADJF masc,sing,nomn
бык NOUN,anim,masc sing,nomn
, PNCT
Чтобы CONJ
невопрошающих PRTF,impf,tran,pres,actv,Adjx plur,gent
— PNCT
к PREP
чему NPRO,neut sing,datv
? PNCT
Узнать INFN,perf,tran
дух NOUN,inan,masc sing,accs
с PREP
радостью NOUN,inan,femn sing,ablt
владык NOUN,anim,masc plur,gent
. PNCT
Когда CONJ
наших ADJF,Apro plur,gent
коней NOUN,anim,masc plur,accs
то CONJ
бег NOUN,inan,masc,Sgtm sing,nomn
, PNCT
то CONJ
рысь NOUN,inan,femn,Sgtm sing,accs
вспугнули VERB,perf,tran plur,past,indc
их NPRO,3per,Anph plur,accs
, PNCT
Пару NOUN,inan,femn sing,accs
рассеянно-гордых ADJF plur,gent
орлов NOUN,anim,masc,Sgtm,Surn sing,nomn
, PNCT
Ветер NOUN,inan,masc sing,nomn
, PNCT
неосязуемый ADJF masc,sing,nomn
для PREP
нас NPRO,1per plur,gent
и CONJ
тих VERB,impf,intr masc,sing,past,indc
, PNCT
Вздымал VERB,impf,tran masc,sing,past,indc
их NPRO,3per,Anph plur,accs
царственно ADVB
на PREP
гордый ADJF masc,sing,nomn
лов NOUN,inan,masc sing,nomn
. PNCT
Вселенной NOUN,inan,femn sing,gent
повинуяся GRND,perf,tran past
указу NOUN,inan,masc sing,datv
, PNCT
Вздымался VERB,impf,intr masc,sing,past,indc
гор NOUN,inan,femn plur,gent
ряд NOUN,inan,masc sing,nomn
долгий ADJF,Qual inan,masc,sing,accs
. PNCT
Я NPRO,1per sing,nomn
путешествовал VERB,impf,intr masc,sing,past,indc
по PREP
Кавказу NOUN,inan,masc,Geox sing,datv
И CONJ
думал VERB,impf,intr masc,sing,past,indc
о PREP
далекой ADJF,Qual femn,sing,gent
Волге NOUN,inan,femn,Sgtm,Geox sing,loct
. PNCT
Конь NOUN,anim,masc sing,nomn
, PNCT
закинув GRND,perf,tran past
резво ADVB
шею NOUN,inan,femn sing,accs
, PNCT
Скакал VERB,impf,intr masc,sing,past,indc
по PREP
легкой ADJF,Qual femn,sing,gent
складке NOUN,inan,femn sing,datv
бездны NOUN,inan,femn sing,gent
. PNCT
С PREP
ужасом NOUN,inan,masc sing,ablt
, PNCT
в PREP
борьбе NOUN,inan,femn,Sgtm sing,loct
невольной ADJF,Qual femn,sing,gent
хорошея GRND,impf,intr pres
, PNCT
Я NPRO,1per sing,nomn
думал VERB,impf,intr masc,sing,past,indc
, PNCT
что CONJ
заниматься INFN,impf,intr
числами NOUN,inan,neut plur,ablt
над PREP
бездною NOUN,inan,femn sing,ablt,V-oy
полезно ADVB,Prdx
. PNCT
Невольно ADVB
числа NOUN,inan,neut sing,gent
я NPRO,1per sing,nomn
слагал VERB,impf,tran masc,sing,past,indc
, PNCT
Как CONJ
бы PRCL
возвратясь GRND,perf,intr past,Fimp
ко PREP Vpre
дням NOUN,inan,masc plur,datv
творенья NOUN,inan,neut sing,gent,V-be
, PNCT
И CONJ
вычислял VERB,impf,tran masc,sing,past,indc
, PNCT
когда CONJ
последний ADJF inan,masc,sing,accs
галл NOUN,anim,masc sing,nomn
Умрет VERB,perf,intr sing,3per,futr,indc
, PNCT
не PRCL
получив GRND,perf,tran past
удовлетворенья NOUN,inan,neut sing,gent,V-be
. PNCT
Далёко ADJS neut,sing
в PREP
пропасти NOUN,inan,femn sing,gent
шумит VERB,impf,intr sing,3per,pres,indc
река NOUN,inan,femn sing,nomn
, PNCT
К PREP
ней NPRO,femn,3per,Anph sing,loct,Af-p
бело-красные ADJF plur,nomn
просыпались VERB,impf,intr plur,past,indc
мела NOUN,anim,masc,Name sing,gent
, PNCT
Я NPRO,1per sing,nomn
думал VERB,impf,intr masc,sing,past,indc
о PREP
природе NOUN,inan,femn sing,loct
, PNCT
что CONJ
дика NOUN,anim,masc,Name sing,gent
И CONJ
страшной ADJF,Qual femn,sing,ablt
прелестью NOUN,inan,femn sing,ablt
мила NOUN,anim,femn,Name sing,nomn
. PNCT
Я NPRO,1per sing,nomn
думал VERB,impf,intr masc,sing,past,indc
о PREP
России NOUN,inan,femn,Sgtm,Geox sing,gent
, PNCT
которая ADJF,Subx,Apro,Anph femn,sing,nomn
сменой NOUN,inan,femn sing,ablt
тундр NOUN,inan,femn plur,gent
, PNCT
тайги NOUN,inan,femn,Sgtm sing,gent
, PNCT
степей NOUN,inan,femn plur,gent
Похожа ADJS,Qual femn,sing
на PREP
один ADJF,Apro,Anum masc,sing,nomn
божественно ADVB
звучащий ADJF masc,sing,nomn
стих NOUN,inan,masc sing,accs
, PNCT
И CONJ
в PREP
это PRCL
время NOUN,inan,neut sing,accs
воздух NOUN,inan,masc sing,accs
освободился VERB,perf,intr masc,sing,past,indc
от PREP
цепей NOUN,inan,femn plur,gent
И CONJ
смолк VERB,perf,intr masc,sing,past,indc
, PNCT
погас VERB,perf,intr masc,sing,past,indc
и CONJ
стих NOUN,inan,masc sing,accs
. PNCT
И CONJ
вдруг ADVB
на PREP
веселой ADJF,Qual femn,sing,loct
площадке NOUN,inan,femn sing,loct
, PNCT
Которая ADJF,Subx,Apro,Anph femn,sing,nomn
, PNCT
на PREP
городскую ADJF femn,sing,accs
торговку NOUN,anim,femn sing,accs
цветами NOUN,anim,femn,Name plur,ablt
похожа ADJS,Qual femn,sing
, PNCT
Зная GRND,impf,tran pres
, PNCT
как CONJ
городские ADJF plur,nomn
люди NOUN,anim,masc plur,nomn
к PREP
цвету NOUN,inan,masc sing,datv
падки ADJS,Qual plur
, PNCT
Весело ADVB,Prdx
предлагала VERB,impf,tran femn,sing,past,indc
цвет NOUN,inan,masc sing,nomn
свой ADJF,Apro,Anph inan,masc,sing,accs
прохожим ADJF masc,sing,ablt
, PNCT
— PNCT
Увидел VERB,perf,tran masc,sing,past,indc
я NPRO,1per sing,nomn
камень NOUN,inan,masc sing,nomn
, PNCT
камню NOUN,inan,masc sing,datv
подобный ADJF,Subx,Qual masc,sing,nomn
, PNCT
под PREP
коим ADJF,Apro neut,sing,ablt
пророк NOUN,anim,masc sing,nomn
Похоронен ADJS masc,sing
: PNCT
скошен PRTS,perf,past,pssv masc,sing
он NPRO,masc,3per,Anph sing,nomn
над PREP
плитой NOUN,inan,femn sing,ablt
и CONJ
увенчан PRTS,perf,past,pssv masc,sing
чалмой NOUN,inan,femn sing,ablt
. PNCT
И CONJ
мощи NOUN,inan,femn sing,gent
старинной ADJF,Qual femn,sing,gent
раковины NOUN,inan,femn sing,gent
, PNCT
изогнуты ADJS,Qual plur
в PREP
козлиный ADJF,Qual masc,sing,nomn
рог NOUN,inan,masc sing,nomn
, PNCT
На PREP
камне NOUN,inan,masc sing,loct
выступали VERB,impf,intr plur,past,indc
; PNCT
казалось VERB,impf,intr neut,sing,past,indc
, PNCT
образ NOUN,inan,masc sing,nomn
бога NOUN,anim,masc sing,gent
камень NOUN,inan,masc sing,nomn
увенчал VERB,perf,tran masc,sing,past,indc
мой ADJF,Apro masc,sing,nomn
. PNCT
